Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Comment
EURUSD;592498396;Buy Stop;0.02;05.04.2022 19:05:30;1.09147;05.04.2022 19:49:16;1.0911;-16.5;-16.50;[S/L]
EURUSD;592494069;Sell Stop;0.02;05.04.2022 19:00:39;1.09121;05.04.2022 19:03:00;1.09154;-14.74;-14.74;[S/L]
EURUSD;592491071;Buy;0.02;05.04.2022 18:56:36;1.09152;05.04.2022 19:00:36;1.09121;-13.82;-13.82;
EURUSD;592486308;Sell;0.02;05.04.2022 18:51:06;1.09139;05.04.2022 18:55:14;1.09156;-7.59;-7.59;
EURUSD;592485083;Buy;0.02;05.04.2022 18:49:54;1.09159;05.04.2022 18:50:50;1.09141;-8.03;-8.03;
EURUSD;592482566;Sell;0.02;05.04.2022 18:47:01;1.09133;05.04.2022 18:49:39;1.09149;-7.15;-7.15;
EURUSD;592469725;Buy Stop;0.02;05.04.2022 18:31:28;1.09185;05.04.2022 18:45:20;1.09141;-19.62;-19.62;[S/L]
EURUSD;592449247;Buy;0.01;05.04.2022 18:13:39;1.09177;05.04.2022 18:22:54;1.09155;-4.9;-4.90;
EURUSD;592453086;Buy Stop;0.01;05.04.2022 18:17:06;1.09205;05.04.2022 18:22:15;1.09157;-10.7;-10.70;[S/L]
EURUSD;591936458;Sell Stop;0.02;05.04.2022 12:43:02;1.09587;05.04.2022 12:48:53;1.0963;-19.12;-19.12;[S/L]
EURUSD;591838164;Buy Stop;0.02;05.04.2022 11:00:20;1.09691;05.04.2022 11:41:39;1.09791;44.29;44.29;[S/L]
EURUSD;591835140;Buy Stop;0.02;05.04.2022 10:57:25;1.09692;05.04.2022 10:59:05;1.09669;-10.2;-10.20;[S/L]
EURUSD;591824427;Sell Stop;0.02;05.04.2022 10:45:00;1.09669;05.04.2022 10:49:38;1.09667;0.89;0.89;[S/L]
EURUSD;591823250;Sell Stop;0.02;05.04.2022 10:43:04;1.09668;05.04.2022 10:43:54;1.09696;-12.44;-12.44;[S/L]
EURUSD;591727005;Buy Stop;0.02;05.04.2022 09:15:34;1.09744;05.04.2022 10:06:31;1.0978;15.95;15.95;[S/L]
EURUSD;591689686;Buy Stop;0.02;05.04.2022 08:39:04;1.09733;05.04.2022 09:12:32;1.09737;1.77;1.77;[S/L]
EURUSD;591512450;Sell;0.02;04.04.2022 21:23:58;1.09725;04.04.2022 21:33:59;1.09714;4.89;4.89;
EURUSD;591471804;Buy;0.02;04.04.2022 20:19:22;1.0964;04.04.2022 20:46:44;1.09665;11.08;11.08;
EURUSD;591459708;Buy Stop;0.02;04.04.2022 20:04:39;1.09644;04.04.2022 20:15:57;1.09648;1.77;1.77;[S/L]
EURUSD;591452888;Sell Stop;0.02;04.04.2022 19:54:31;1.09654;04.04.2022 20:02:00;1.09651;1.33;1.33;[S/L]
EURUSD;591328098;Sell Stop;0.02;04.04.2022 17:26:40;1.09906;04.04.2022 17:27:32;1.09934;-12.41;-12.41;[S/L]
EURUSD;591261772;Buy Stop;0.02;04.04.2022 16:40:41;1.09822;04.04.2022 17:42:56;1.09938;51.28;51.28;[S/L]
EURUSD;591252834;Buy Stop;0.02;04.04.2022 16:35:09;1.09833;04.04.2022 16:40:13;1.0979;-19.03;-19.03;[S/L]
EURUSD;591222112;Buy Stop;0.02;04.04.2022 16:18:07;1.09852;04.04.2022 16:29:17;1.09814;-16.81;-16.81;[S/L]
EURUSD;591200847;Buy;0.02;04.04.2022 16:07:57;1.09857;04.04.2022 16:16:58;1.09826;-13.71;-13.71;
EURUSD;591186757;Buy Stop;0.02;04.04.2022 16:02:24;1.09891;04.04.2022 16:07:06;1.0984;-22.56;-22.56;[S/L]
